Zone;Importations - Volailles;Production-Volailles;Disponibilité intérieure;Exportations - Volailles;PIB;Population;Sous-alimentation (%);Indice de stabilité;Disponibilités protéines moyennes d'origine animale
Paraguay;1;45;41;4;5680.581644;6867.061;7.8;0;27.3
Pays-Bas;608;1100;372;1418;48989.638816;17021.347;0;0.92;68.3
Pérou;60;1465;1523;1;6710.531503;31444.298;7.6;-0.26;29
Philippines;249;1272;1521;2;2981.942592;105172.925;10.9;-1.18;25.7
Pologne;55;2351;1156;1025;13872.466907;37953.18;0;0.52;57
Portugal;82;361;325;44;21515.021025;10288.527;0;1.12;72
République centrafricaine;4;7;11;;450.900697;4596.023;46.1;-2.01;18.3
République de Corée;137;838;854;6;31781.12332;51096.415;0;0.32;49.7
République de Moldova;16;54;66;0;2381.895178;4059.684;;-0.32;29.3
République dominicaine;42;339;375;6;7609.365034;10513.104;6.4;0.16;32
République populaire démocratique de Corée;0;43;43;0;686.340258;25429.825;42.9;-0.5;10
République-Unie de Tanzanie;2;105;108;;1001.160919;54660.339;24.1;-0.56;11.3
Roumanie;146;392;381;69;10771.150494;19653.969;0;0.06;54
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord;779;1814;2234;359;39900.874075;66727.461;0;0.33;58.3
Rwanda;0;19;19;0;772.29317;11980.961;34.5;0.09;8
Sainte-Lucie;10;1;11;;11047.497645;180.954;;0.99;52.3
Saint-Kitts-et-Nevis;4;0;4;0;19155.431731;52.045;;0.65;52
Saint-Vincent-et-les Grenadines;9;0;8;;7212.960181;109.827;5.5;0.89;49.7
Samoa;17;0;15;0;4219.942732;195.352;4.7;1.18;52.7
Sao Tomé-et-Principe;2;1;2;;1828.194018;207.089;11.8;0.19;16.3
Sénégal;0;77;77;0;1361.701768;15419.355;7.9;-0.05;13.7
Serbie;12;85;90;7;6275.19445;8829.628;4;0.09;41.3
Sierra Leone;14;17;30;0;499.38124;7488.423;26.2;-0.04;11
Slovaquie;63;71;74;35;17528.667005;5447.9;4.5;0.91;37.3
Slovénie;20;72;52;29;23399.510617;2076.394;0;0.87;52
Soudan;2;67;69;;2990.994843;40813.397;11.8;-1.98;20
Sri Lanka;0;192;192;2;4138.0152;21128.032;5.9;-0.07;17
Suède;84;157;187;23;54621.345824;9904.896;0;0.98;68
Suisse;51;91;133;4;83313.013992;8455.804;0;1.26;60
Suriname;18;10;25;5;5637.509583;570.496;8.4;0.13;25
Tadjikistan;38;2;40;;848.668435;8880.268;;-0.67;12
Tchad;1;6;7;0;692.16163;15016.753;29.1;-1.29;11
Tchéquie;116;163;249;27;20545.836143;10641.034;0;1;51.7
Thaïlande;2;1676;881;796;6578.190858;69209.81;7.7;-0.75;26.7
Timor-Leste;11;1;5;;1286.408825;1243.258;24;0.07;16.7
Togo;16;40;54;0;830.745422;7698.474;21.2;-0.88;8.3
Trinité-et-Tobago;23;61;76;0;16173.645063;1384.059;6.8;0.28;43.7
Tunisie;0;213;195;4;3481.203612;11433.443;0;-1.02;28
Turkménistan;9;20;27;;6585.162962;5757.667;3.7;-0.13;36
Turquie;3;2192;1674;429;10589.573121;81116.45;0;-1.79;37.7
Ukraine;121;1211;1009;273;2521.827514;44487.709;0;-1.87;37.3
Uruguay;3;33;33;3;17322.172592;3436.641;0;1.05;44
Vanuatu;4;1;3;;3082.368364;285.51;9.6;0.7;26.7
Venezuela (République bolivarienne du);25;600;626;0;8429.074575;29402.484;22.2;-1.25;24.7
Viet Nam;291;918;1206;1;2365.521494;94600.648;7.2;0.29;37.7
Yémen;78;168;246;0;745.087909;27834.819;46.6;-2.94;9
Namibie;29;11;28;12;5300.095958;16853.599;20;0.63;22.7
Zimbabwe;6;69;76;;1548.186368;14236.595;;-0.71;11
